id,x,y,z,date_mpu,time_mpu,time_float
556,-1220,972,15772,2022-03-25,22:19:59,22.3331
557,-1120,952,15664,2022-03-25,22:20:15,22.3375
558,-1152,972,15520,2022-03-25,22:20:31,22.3419
559,-1172,1076,15524,2022-03-25,22:20:46,22.3461
560,-1088,940,15676,2022-03-25,22:21:02,22.3506
561,-1168,948,15664,2022-03-25,22:21:18,22.355
562,-1192,976,15684,2022-03-25,22:21:33,22.3592
563,-1156,988,15596,2022-03-25,22:21:49,22.3636
564,-1276,988,15708,2022-03-25,22:22:05,22.3681
565,-1164,916,15660,2022-03-25,22:22:21,22.3725
566,-1200,960,15804,2022-03-25,22:22:36,22.3767
567,-1196,1008,15828,2022-03-25,22:22:52,22.3811
568,-1148,956,15628,2022-03-25,22:23:08,22.3856
569,-1132,936,15680,2022-03-25,22:23:23,22.3897
570,-1168,1000,15768,2022-03-25,22:23:39,22.3942
571,-1164,992,15672,2022-03-25,22:23:55,22.3986
572,-1180,948,15796,2022-03-25,22:24:10,22.4028
573,-1136,980,15648,2022-03-25,22:24:26,22.4072
